,title,dates,place,description
185,"👾 Giochinatium - Giochi in piazza`
",29.09.2024 | 20:00 - 30.09.2024 | 00:00,"Piazza Umberto I, Giovinazzo (BA)

A chiusura dell'estate giovinazzese, torna Giochinatiun - Giochi in piazza per una serata giochi da tavolo sotto le stelle! Partecipazione gratuita, età consigliata 14+
P.s. in caso di meteo avverso saremo al coperto al civico 14!","
A chiusura dell'estate giovinazzese, torna Giochinatiun - Giochi in piazza per una serata giochi da tavolo sotto le stelle! Partecipazione gratuita, età consigliata 14+
P.s. in caso di meteo avverso saremo al coperto al civico 14!"
186,"🎹 20 ANNI DI (R)ESISTENZA`
",27.09.2024 | 21:00,"Le Macerie - Baracche Ribelli Molfetta (BA)
","📅28.09.2024 | 21:30
Le Macerie - Baracche Ribelli Molfetta (BA
📅29.09.2024 | 10:00
Lama Martina Molfetta (BA

20 Anni di (Resistenza della regione più libera della regione. Una storia da raccontare, una storia che è già storia, una storia ancora da scrivere.
Tre giorni di festa insieme a tutt* voi.

VENERDÌ 27

- Idola Tribe (opening
- O'ZULÙ (99POSSE

a seguire dj set con 
SHANTY CREW
Albees+Xyde

SABATO 28 
Open act
Ellency - Nope - Tyso
Main Artist
CUBA CABBAL (Costa Nostra
Cospa dj set ( Da Mic Dojo
MORFUCO + TONICO 70 Gold School Brothers

a seguire:
Indoor Space
PAOLETTA (L 57
MNT-BLACKQIREX-KRAK (NEW SPECIES

Dj  set Open Air

DOMENICA 29
Fiera delle Autoproduzioni
Lama Martina
da mattina a sera"
187,"🎥 ""INVELLE"" di Simone Massi a Bari al Cinema Galleria. Evento speciale con il regista in videocollegamento`
",01.10.2024 | 21:00 - 23:00,"Multicinema Galleria, Bari (BA)

🎬 #SAVETHEDATE! 
 ""𝑰𝑵𝑽𝑬𝑳𝑳𝑬"", il film del pluripremiato regista di animazione Simone Massi, verrà proiettato a Bari, con un evento speciale, il 1° Ottobre al Multicinema Galleria.

🎫Prevendite sul sito: multicinemagalleria.18tickets.it/film/23240
 
Il regista marchigiano sarà inoltre presente in videocollegamento, prima dell'inizio della proiezione.
Il film, verrà introdotto da Roberta Rutigliano @itsruty (La Scatola Blu), e da Pia Nocella (Spine).

Simone Massi (Pergola, 23 maggio 1970) è un animatore, regista e illustratore italiano vincitore di un David di Donatello 2012 per il miglior cortometraggio e di quattro Nastri d'argento nel 2014, 2015 e 2023 
#Cinema #simonemassi #cinemadanimazione #cinemaanimato #bari","
🎬 #SAVETHEDATE! 
 ""𝑰𝑵𝑽𝑬𝑳𝑳𝑬"", il film del pluripremiato regista di animazione Simone Massi, verrà proiettato a Bari, con un evento speciale, il 1° Ottobre al Multicinema Galleria.

🎫Prevendite sul sito: multicinemagalleria.18tickets.it/film/23240
 
Il regista marchigiano sarà inoltre presente in videocollegamento, prima dell'inizio della proiezione.
Il film, verrà introdotto da Roberta Rutigliano @itsruty (La Scatola Blu, e da Pia Nocella (Spine.

Simone Massi (Pergola, 23 maggio 1970 è un animatore, regista e illustratore italiano vincitore di un David di Donatello 2012 per il miglior cortometraggio e di quattro Nastri d'argento nel 2014, 2015 e 2023 
#Cinema #simonemassi #cinemadanimazione #cinemaanimato #bari"
188,"🎨 Escaviva`
","29.09.2024 - 29.09.2024
🕒16:00 - 22:00","Nura Garden, Monopoli (BA)

Evento gratuito 
Link profilo Instagram per eventuali info:https://www.instagram.com/esca.viva?igsh=Z3E4eWY2NmhwZzZo","
Evento gratuito 
Link profilo Instagram per eventuali info:https://www.instagram.com/esca.viva?igsh=Z3E4eWY2NmhwZzZo"
189,"🎭 Cime di Stand-Up - uno Show di Stand-Up Comedy`
",26.09.2024 | 21:00 - 22:00,"Agorateca, via S. Lorusso 1, Altamura (BA)

Cime di Stand-Up sbarca ad Altamura! 🌱
Un gruppo di cavalieri erranti della comicità in procinto di conquistare il territorio, senza spade medievali ma armati di microfono:
PERCHÉ LE PAROLE COLPISCONO PIÙ NEL PROFONDO 💔

Giovedì 26 Settembre ci vediamo all'Agorateca ad Altamura per una serata di Stand-Up Comedy irriverente ❣️

Ticket 5€ al botteghino, puoi prenotare scrivendo al 334 813 8197.
Puoi pagare in contanti o anche PayPal sul posto. 
Che dici, vieni?","
Cime di Stand-Up sbarca ad Altamura! 🌱
Un gruppo di cavalieri erranti della comicità in procinto di conquistare il territorio, senza spade medievali ma armati di microfono:
PERCHÉ LE PAROLE COLPISCONO PIÙ NEL PROFONDO 💔

Giovedì 26 Settembre ci vediamo all'Agorateca ad Altamura per una serata di Stand-Up Comedy irriverente ❣️

Ticket 5€ al botteghino, puoi prenotare scrivendo al 334 813 8197.
Puoi pagare in contanti o anche PayPal sul posto. 
Che dici, vieni?"
190,"🎭 Cime di Stand-Up - uno Show di Stand-Up Comedy`
",27.09.2024 | 21:00 - 22:00,"Teatro Osservatorio, via Re David 116/1, Bari (BA)

Vuoi vedere la Stand-Up Comedy al Teatro Osservatorio? 🎭
SIAMO TORNATI! 🤡

Venerdì 27 Settembre, compiono gli anni Francesco Totti 🔟 e Jovanotti 🏖️, ma soprattutto torniamo in Osservatorio con il nostro show comico itinerante: CIME DI STAND-UP 🌱

I biglietti finiscono in fretta, come puoi prenderli? 🎟️
Cliccando qui: https://www.eventbrite.it/e/cime-di-stand-up-tickets-1008434674257?aff=oddtdtcreator

Se hai la tessera, ti costa solo 5€ (+ una piccola parte di commissioni)
Se non hai la tessera, 5€ + 3€ (e puoi accedere agli eventi del Teatro per tutto l'anno, eventi nostri compresi 😏)

Ci vediamo in Teatro! ❣️","
Vuoi vedere la Stand-Up Comedy al Teatro Osservatorio? 🎭
SIAMO TORNATI! 🤡

Venerdì 27 Settembre, compiono gli anni Francesco Totti 🔟 e Jovanotti 🏖️, ma soprattutto torniamo in Osservatorio con il nostro show comico itinerante: CIME DI STAND-UP 🌱

I biglietti finiscono in fretta, come puoi prenderli? 🎟️
Cliccando qui: https://www.eventbrite.it/e/cime-di-stand-up-tickets-1008434674257?aff=oddtdtcreator

Se hai la tessera, ti costa solo 5€ (+ una piccola parte di commissioni
Se non hai la tessera, 5€ + 3€ (e puoi accedere agli eventi del Teatro per tutto l'anno, eventi nostri compresi 😏

Ci vediamo in Teatro! ❣️"
191,"📖 Silent Reading Party`
",20.09.2024 | 18:00 - 20:00,"Terrazza Centro Famiglie, Valenzano (Ba)

Ingresso gratuito

LE REGOLE DEL GIOCO:
1. Porta con te qualcosa da leggere (o chiedi a noi in prestito).
2. Spegni il cellulare.
3. Assapora un'ora di lettura in silenzio, in compagnia, in un'atmosfera suggestiva.
4. Goditi un momento di confronto e convivialità.
5. Lasciaci in regalo un tuo pensiero.","
Ingresso gratuito

LE REGOLE DEL GIOCO:
1. Porta con te qualcosa da leggere (o chiedi a noi in prestito.
2. Spegni il cellulare.
3. Assapora un'ora di lettura in silenzio, in compagnia, in un'atmosfera suggestiva.
4. Goditi un momento di confronto e convivialità.
5. Lasciaci in regalo un tuo pensiero."
192,"🎨 IncontrARTE🫀 - Cerchio di Arte Condivisa✨🎨`
",22.09.2024 | 10:00 - 13:00,,"
🎨🌿 Partecipa a una magica esperienza di creatività e connessione con la natura! Porta la tua arte, qualunque essa sia – disegno, scrittura, danza, musica, uncinetto, kung fu, o qualsiasi altra espressione creativa – e unisciti a noi per una serata inaspettata. Sarà un'occasione per condividere la tua arte, imparare da altr3 e magari vendere anche le tue creazioni!

🌟 Ci sederemo in cerchio, creando liberamente e rispettando i tempi e gli spazi di ognun3. Non importa quale sia il tuo livello di esperienza o la tua forma d’arte: questo è un luogo dove ognun3 è liber3 di esprimersi senza pressioni. Condividi ció che fai se ti va, ma non è obbligatorio!

➡️ https://www.eventbrite.co.uk/e/biglietti-incontrarte-1020503432237
➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe"
193,"📖 ""I MOTI CELESTI"" di Michele Peroncini - Gruppo di lettura con Teste fra le Nuvole, il Club del Fumetto di Bari`
",23.09.2024 | 19:00 - 21:00,"Spine Bookstore c/o Officina degli Esordi, Via Francesco Crispi n.5, Bari 70123

Il 23, nell'ultimo scampolo di Settembre, siamo felici di invitarvi ad un nuovo incontro del Club del Fumetto ""Teste fra le nuvole"", questa volta dedicato ad un graphic novel d'esordio e recente, ovvero ""I moti celesti"" di Michele Peroncini (Coconino, 2024).
Un’occasione per immergerci insieme in una storia ""picaresca"", fresca di candidatura ai Lucca Comics Awards, e discutere su questo racconto di formazione, sull'amicizia e il senso della vita.

Quando?
Lunedì 23 Settembre alle ore 19:00, presso l'Officina degli Esordi.
L'ingresso è libero e gratuito.
Se vuoi ""studiare"" prima il fumetto, puoi trovarlo da noi a Spine.
 https://facebook.com/events/s/i-moti-celesti-di-michele-pero/1200634411255947/","
Un’occasione per immergerci insieme in una storia ""picaresca"", fresca di candidatura ai Lucca Comics Awards, e discutere su questo racconto di formazione, sull'amicizia e il senso della vita.

Quando?
Lunedì 23 Settembre alle ore 19:00, presso l'Officina degli Esordi.
L'ingresso è libero e gratuito.
Se vuoi ""studiare"" prima il fumetto, puoi trovarlo da noi a Spine.
 https://facebook.com/events/s/i-moti-celesti-di-michele-pero/1200634411255947/"
194,"❔ Miskia Miskia: bar in miniatura per bambini in Murgia`
",22.09.2024 | 10:30 - 13:30,"Posta della Grave, Andria

Domenica 22 settembre il mini bar 𝑴𝒊𝒔𝒌𝒊𝒂 𝑴𝒊𝒔𝒌𝒊𝒂  fa visita all’azienda apistica Posta della Grave, dove i bambini parteciperanno ad un laboratorio di preparazione di cocktail analcolici con ingredienti di stagione, guidati da un esperto del mestiere e prepareranno la loro merenda, proprio come in un vero bar 🍸♥️
Dietro il bancone e con il grembiule allacciato, impareranno ad unire gli ingredienti per poi shakerarli e servirli al “cliente”, lavorando in squadra! 🤸‍♂

I genitori verranno coinvolti in una degustazione di mieli artigianali, insieme ad un’apicoltrice, per immergersi nell’affascinante mondo delle api 🍯✨
Sarà possibile usufruire degli spazi per un pic nic 🧺
Start: 10.30 🌞

🎟️ Costo bambino: €12
include laboratorio, merenda, una bevanda
Costo adulto: €8
include degustazione di miele
Sarà possibile degustare drink e cibo ad un costo extra

Prenotazioni al 342 3660 889",
195,"🎥 Festa del Cinema in Libertà 2024`
",10.09.2024 | 20:30 - 22:30,"Officina degli Esordi, Bari (BA)

𝐌𝐚𝐫𝐭𝐞𝐝𝐢‌ 𝟏𝟎/𝟎𝟗 – 𝐅𝐢𝐥𝐦 𝐋𝐆𝐁𝐓𝐐𝐈𝐀+
🎥 𝐋𝐞𝐬 𝐚𝐦𝐨𝐮𝐫𝐬 𝐢𝐦𝐚𝐠𝐢𝐧𝐚𝐢𝐫𝐞𝐬 𝐝𝐢 𝐗𝐚𝐯𝐢𝐞𝐫 𝐃𝐨𝐥𝐚𝐧
Marie, Francis e Nicolas. Montreal.
La sola verità è l’amore oltre ogni ragione: così ha inizio il giovane esperimento del regista/attore Dolan, che porta in scena il disagio del rifiuto amoroso e con la forza di racconti fuori campo esaspera lo scontro dell’eterna lotta tra vincitori e vinti in un duello per la conquista di un cuore e di un corpo statuari. Scultoreo è l’oggetto conteso, la calamita di tante frustrazioni ed attenzioni, l’anello di congiunzione tra i due amici che competono per l’amore. (lascatolablu.com)

🎙 Prima della Proiezione Arci MIXED Aps e Sud Est Donne (rete di centri antiviolenza) ci parleranno del progetto C.A.D. (Centro Anti Discriminazione) Mo.N.Di, un servizio innovativo destinato alle persone gay, lesbiche, bisessuali, trans*, transessuali e intersessuali.","
𝐌𝐚𝐫𝐭𝐞𝐝𝐢‌ 𝟏𝟎/𝟎𝟗 – 𝐅𝐢𝐥𝐦 𝐋𝐆𝐁𝐓𝐐𝐈𝐀+
🎥 𝐋𝐞𝐬 𝐚𝐦𝐨𝐮𝐫𝐬 𝐢𝐦𝐚𝐠𝐢𝐧𝐚𝐢𝐫𝐞𝐬 𝐝𝐢 𝐗𝐚𝐯𝐢𝐞𝐫 𝐃𝐨𝐥𝐚𝐧
Marie, Francis e Nicolas. Montreal.
La sola verità è l’amore oltre ogni ragione: così ha inizio il giovane esperimento del regista/attore Dolan, che porta in scena il disagio del rifiuto amoroso e con la forza di racconti fuori campo esaspera lo scontro dell’eterna lotta tra vincitori e vinti in un duello per la conquista di un cuore e di un corpo statuari. Scultoreo è l’oggetto conteso, la calamita di tante frustrazioni ed attenzioni, l’anello di congiunzione tra i due amici che competono per l’amore. (lascatolablu.com

🎙 Prima della Proiezione Arci MIXED Aps e Sud Est Donne (rete di centri antiviolenza ci parleranno del progetto C.A.D. (Centro Anti Discriminazione Mo.N.Di, un servizio innovativo destinato alle persone gay, lesbiche, bisessuali, trans*, transessuali e intersessuali."
196,"🎨 IncontrARTE - Cerchio di Arte Condivisa✨`
",07.09.2024 | 18:00 - 22:00,"ORTO SOCIALE CAMPAGNEROS
Via Raffaele Bovio, 16-18, Bari (BA)

🎨🌿 Partecipa a una magica esperienza di creatività e connessione con la natura! IncontrARTE ti invita a portare la tua arte, qualunque essa sia – disegno, scrittura, danza, musica, uncinetto, kung fu, o qualsiasi altra espressione creativa – e unirti a noi per una serata inaspettata. Sarà un'occasione per esplorare la tua arte, immerso nella natura e in un'atmosfera accogliente e rilassata. 

🌟 Ci sederemo in cerchio, creando liberamente e rispettando i tempi e gli spazi di ognuno. Non importa quale sia il tuo livello di esperienza o la tua forma d’arte: questo è un luogo dove ognuno è libero di esprimersi senza pressioni. Condividi ció che fai se ti va, ma non è obbligatorio!

➡️ IG: https://shorturl.at/bH5bE
➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe","
🎨🌿 Partecipa a una magica esperienza di creatività e connessione con la natura! IncontrARTE ti invita a portare la tua arte, qualunque essa sia – disegno, scrittura, danza, musica, uncinetto, kung fu, o qualsiasi altra espressione creativa – e unirti a noi per una serata inaspettata. Sarà un'occasione per esplorare la tua arte, immerso nella natura e in un'atmosfera accogliente e rilassata. 

🌟 Ci sederemo in cerchio, creando liberamente e rispettando i tempi e gli spazi di ognuno. Non importa quale sia il tuo livello di esperienza o la tua forma d’arte: questo è un luogo dove ognuno è libero di esprimersi senza pressioni. Condividi ció che fai se ti va, ma non è obbligatorio!

➡️ IG: https://shorturl.at/bH5bE
➡️ GRUPPO WHATSAPP: https://shorturl.at/2xLwe"
197,"🎥 Lungomiraggi`
",07.09.2024 | 20:30,,"
🗓️ 7 settembre ore 20:30
🎬 ""Cara Alice"" di Gabriele Armenise. Interverranno il regista e l'attore Fabio Salerno
🎬 ""Palazzina Laf"" di Michele Riondino

🗓️ 8 settembre ore 20:30
🎬 ""Irina Hale"" – L'artista bambina di Cristina D'Eredità. Interverrà la regista
🎬 ""Grazie Ragazzi"" di Riccardo Milani

Ingresso gratuito fino ad esaurimento posti.

Organizzato dalla coop. Il Nuovo Fantarca con il patrocinio gratuito del Comune di Valenzano."
198,"🎨 Telesinfoniche`
",04.09.2024 | 21:30 - 05.09.2024 | 00:30,"C.da Madonna Dattoli, Ginosa (TA)

🗓️ MERCOLEDÌ 4 SETTEMBRE
","
🗓️ MERCOLEDÌ 4 SETTEMBRE
 #IndaRanch - C.da Madonna Dattoli - Ginosa (Ta
🕰️ Ore 21:30

""TELE SINFONICHE"", propone un connubio tra arte e Musica che porterà il pubblico verso la consapevolezza e la conoscenza della sincronicità.
Attraverso simboli, colori, testi musicali, rifletterà verso la connessione spirituale di messaggi angelici.

Il palcoscenico di un sogno
Il luogo dove 12 opere d'arte dipinte da un padre e una figlia, PISKELLA E FARZEZE.
La Musica prodotta da 4 giovani ragazzi e le voci di MADRA, NAZ, LOMAX, JOE BATTERS, MILLIGAN, SHABBY, MYERS, REALF, YANGKIDD genereranno un mix elettrico e coinvolgente di suoni e ritmi, raccontando e descrivendo una dimensione magica.

Ogni ragazzo porta la propria energia e creatività alla registrazione e mediante il messaggio sequenziale numerico assegnato al brano musicale dell'opera d'arte."
199,"🎹 PlayDMusic 2024`
",01.09.2024 | 21:00,"Cittadella del Bambino
",
200,"📖 ""HIJRA - Incontro con l'autore Saif ur Rehman Raja (Fandango Libri) a Spine Bookstore""`
",04.09.2024 | 18:30 - 20:30,"Officina degli Esordi, Via Francesco Crispi n.5, Bari 70123

Mercoledì 4 Settembre 2024, con la preziosa collaborazione della casa editrice Fandango Libri, abbiamo il piacere di ospitare da noi a Bari l'autore Saif ur Rehman Raja, che incontrerà il pubblico alle 18.30 nell'Officina degli Esordi, per presentare dal vivo il suo romanzo d'esordio ""HIJRA"".
A moderare l'incontro, la docente, attivista e autrice Settenove,  Marianna Di Gioia.
https://facebook.com/events/s/hijra-incontro-con-lautore-sai/4531555330403536/",
201,"🎹 ""GENERAZIONE ALTERNATIVA 1991-1995"" (Rizzoli Lizard). Presentazione e firmacopie con LUCA DE GENNARO a Bari da Spine.`
",06.09.2024 | 19:00 - 23:00,"Officina degli Esordi, Via Francesco Crispi n.5, Bari 70123

Un nuovo incontro con l'autore a Spine, nella serata di Venerdì 6 Settembre all'Officina degli Esordi, con il critico musicale, conduttore radiofonico di Radio Capital, scrittore e disc jockey Luca De Gennaro.
Presenterà al pubblico barese il suo nuovo “Generazione alternativa 1991-1995. Come la musica underground ha conquistato le classifiche e rivoluzionato il mercato”, pubblicato quest'anno da Rizzoli Lizard. 
Con lui sul palco a moderare l'incontro, Dado Minervini.
Dopo la chiacchierata, anche un dj set a tema di Dado Dinervini con Jack Pepe.
Ingresso libero. 
https://facebook.com/events/s/generazione-alternativa-1991-1/2197239940657694/",
202,"🎹 IndaRanch Festival`
",30.08.2024 | 20:30 - 31.08.2024 | 00:30,"C.da Madonna Dattoli, Ginosa (TA)

#IndaRanchFestival 🚀🚀

🗓️ VENERDÌ 30 AGOSTO

Avremo l’onore di avere sul nostro palco Francesco Tricarico accompagnato dal maestro Michele Fazio. 

Un concerto da non perdere!!! ❤️‍🔥

Vi aspettiamo #IndaRanch 🚀

","
#IndaRanchFestival 🚀🚀

🗓️ VENERDÌ 30 AGOSTO

Avremo l’onore di avere sul nostro palco Francesco Tricarico accompagnato dal maestro Michele Fazio. 

Un concerto da non perdere!!! ❤️‍🔥

Vi aspettiamo #IndaRanch 🚀

 C.da Madonna Dattoli - Ginosa (Ta

ℹ️ APERTURA CANCELLI ORE 20:00

START ORE 20:30

Open act MAREA🎙️ 

ORE 21:30

Concerto TRICARICO🎶 

ORE 00:00 

Dj Set by SILVER DUB 🎧 

⚠️ PRENOTAZIONE OBBLIGATORIA fino ad esaurimento posti.

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE

🆕 TESSERA INDAHOUSE 2024/2025 🆕

Scarica la tua tessera qui 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️

⚪️ Costo tessera 10€ (Validità 365 giorni ⚪️"
203,"🎥 Verso Sud. Andresti?`
",29.08.2024 | 20:30 - 23:30,"Antico Commercio, Corato (BA)

Il Trifone si trasforma in cinema! 📽️

Chi lo avrebbe detto che un camion trasporto frutta del ‘77 sarebbe diventato un palco, una sala mostre e ora anche un grande schermo? 🚛

Giovedì 29 Agosto proietteremo i 𝑪𝒊𝒏𝒆𝒓𝒂𝒄𝒄𝒐𝒏𝒕𝒊 di Giuseppe Valentino sul nostro camioncino fiabesco per rivivere insieme la scorsa edizione del festival Verso Sud attraverso i suoi occhi e scoprire cosa ci riserberà quest’anno 🍿

Vi aspettiamo al Cinema Trifone alle 20:30 per un viaggio Verso Sud 🎬

Illustrazione e grafica a cura di Peppe Losapio","
Il Trifone si trasforma in cinema! 📽️

Chi lo avrebbe detto che un camion trasporto frutta del ‘77 sarebbe diventato un palco, una sala mostre e ora anche un grande schermo? 🚛

Giovedì 29 Agosto proietteremo i 𝑪𝒊𝒏𝒆𝒓𝒂𝒄𝒄𝒐𝒏𝒕𝒊 di Giuseppe Valentino sul nostro camioncino fiabesco per rivivere insieme la scorsa edizione del festival Verso Sud attraverso i suoi occhi e scoprire cosa ci riserberà quest’anno 🍿

Vi aspettiamo al Cinema Trifone alle 20:30 per un viaggio Verso Sud 🎬

Illustrazione e grafica a cura di Peppe Losapio"
204,"👾 Maicol&Mirco all' ExpostModerno di Bari con ""FAVOLE PER PSICOTERAPEUTI""`
",26.08.2024 | 19:00 - 21:00,"ExpostModerno, Via Napoli 264, Bari (BA)

Il nuovo fumetto di Maicol&Mirco, ""FAVOLE PER PSICOTERAPEUTI"", pubblicato da Bao Publishing, passa dalla Puglia. 
Il 24 e 25 agosto sarà a #Bisceglie durante il Bicomix, mentre il 26 agosto sera a Bari con Spine nell'Expostmoderno, insieme alla Psicoterapeuta Alessia Imperio e a Sara Mastrodomenico (libraia Spine). 
Ingresso gratuito, con firmacopie a seguire ✌️","
Il nuovo fumetto di Maicol&Mirco, ""FAVOLE PER PSICOTERAPEUTI"", pubblicato da Bao Publishing, passa dalla Puglia. 
Il 24 e 25 agosto sarà a #Bisceglie durante il Bicomix, mentre il 26 agosto sera a Bari con Spine nell'Expostmoderno, insieme alla Psicoterapeuta Alessia Imperio e a Sara Mastrodomenico (libraia Spine. 
Ingresso gratuito, con firmacopie a seguire ✌️"
205,"🎹 IndaRanch Festival`
",23.08.2024 | 21:30 - 24.08.2024 | 01:30,"C.da Madonna Dattoli, Ginosa (TA)

#IndaRanchFestival 🚀🚀

🗓️ VENERDÌ 23 AGOSTO 

Saremo felicissimi di avere sul nostro palco “La Municipàl” ,una delle band più importanti del panorama musicale italiano! 

Vi aspettiamo #IndaRanch 🚀 ❤️‍🔥

","
#IndaRanchFestival 🚀🚀

🗓️ VENERDÌ 23 AGOSTO 

Saremo felicissimi di avere sul nostro palco “La Municipàl” ,una delle band più importanti del panorama musicale italiano! 

Vi aspettiamo #IndaRanch 🚀 ❤️‍🔥

 C.da Madonna Dattoli - Ginosa (Ta

ℹ️ APERTURA CANCELLI ORE 20:30
ℹ️ START ORE 21:30

⚠️ PRENOTAZIONE OBBLIGATORIA fino ad esaurimento posti.

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

🆕 TESSERA INDAHOUSE 2024/2025 🆕

Scarica la tua tessera qui 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️

⚪️ Costo tessera 10€ (Validità 365 giorni ⚪️"
206,"🎹 Indaranch Festival`
",17.08.2024 | 21:30 - 18.08.2024 | 01:30,"C.da Madonna Dattoli, Ginosa (TA)

#IndaRanchFestival 🚀🚀

SABATO 17 AGOSTO ci vediamo in pista!!! 🕺🏻 💃 

Pronti a scatenarci nel coloratissimo appuntamento con il 
“FLUO PARTY” 🩷❤️🧡💛🩵💙💜🤍 

In consolle 🚀 🎧👇🏼

You Nico 🪩
Orchestra Moderna 🪩

Vi aspettiamo #IndaRanch 🚀 ❤️‍🔥

🕘 START ORE 21:30 

","
#IndaRanchFestival 🚀🚀

SABATO 17 AGOSTO ci vediamo in pista!!! 🕺🏻 💃 

Pronti a scatenarci nel coloratissimo appuntamento con il 
“FLUO PARTY” 🩷❤️🧡💛🩵💙💜🤍 

In consolle 🚀 🎧👇🏼

You Nico 🪩
Orchestra Moderna 🪩

Vi aspettiamo #IndaRanch 🚀 ❤️‍🔥

🕘 START ORE 21:30 

 C.da Madonna Dattoli - Ginosa (Ta

Grafic by Virginia Martemucci 🖌️

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

Scarica la tua tessera qui 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

* COMPILA IL FORM CON I TUOI DATI
* AGGIUNGI LA TESSERA AL TUO WALLET

❗️APRI IL LINK SU SAFARI O CHROME ❗️

⚪️ Costo tessera 10€ (Validità 365 giorni ⚪️"
207,"🎭 Barbarossa Poetry Slam`
",24.08.2024 | 20:30 - 22:30,"Nassau Pub & Pirates, via Domenico Nicolai 22, Bari (BA)

Inviare una mail a clausdayanyeah@gmail.com per iscriversi","
Inviare una mail a clausdayanyeah@gmail.com per iscriversi"
208,"🎹 IndaRanch Festival`
",13.08.2024 | 21:30 - 14.08.2024 | 00:30,"C.da Madonna Dattoli, Ginosa (TA)

#IndaRanchFestival 🚀🚀

MARTEDÌ 13 AGOSTO alle 21:30 ci rivediamo #IndaRanch per una stupenda serata di musica live 🎤💥

Sul palco 👇🏼🚀
Querva 🎶
Mattia Dell’Arso 🎶

C.da Madonna Dattoli - Ginosa (Ta)

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

Scarica la tua tessera qui 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

⚪️ Costo tessera 10€ (Validità 365 giorni) ⚪️","
#IndaRanchFestival 🚀🚀

MARTEDÌ 13 AGOSTO alle 21:30 ci rivediamo #IndaRanch per una stupenda serata di musica live 🎤💥

Sul palco 👇🏼🚀
Querva 🎶
Mattia Dell’Arso 🎶

C.da Madonna Dattoli - Ginosa (Ta

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

Scarica la tua tessera qui 👇🏼

https://wallyfor.com/step1.php?idcode=5063&grupponotifica=1663

⚪️ Costo tessera 10€ (Validità 365 giorni ⚪️"
209,"🎹 Indaranch Festival`
",09.08.2024 | 21:30 - 10.08.2024 | 00:30,"C.da Madonna Dattoli, Ginosa (TA)

Arte, dj set e musica live si uniranno in un mood che vi farà sentire totalmente liberi di esprimervi in compagnia del duo “Manatì” e con “FN KEY?l” con una stupenda performance di action painting 😎💥

🎧 🎸 “Manatì” è un progetto live dance nato nel 2023 dalla fusione tra le influenze di Cristina Della Vecchia (tastierista, producer, composer che da anni collabora con tantissimi artisti tra cui Margherita Vicario) e Martina Bertini (bassista, producer, arrangiatrice finalista di X Factor con tantissime collaborazioni alle spalle).
Il basso, piano, synth e percussioni si intrecciano su basi originali che spaziano dalla dance/house all’afrobeat, dall’EDM all’elettronica alla global Music creando un set tutto da ballare, coinvolgente e unico.

Vi aspettiamo #IndaRanch ❤️‍🔥

C.da Madonna Dattoli - Ginosa (Ta)

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

⚪️ Costo tessera 10€ (Validità 365 giorni) ⚪️","
Arte, dj set e musica live si uniranno in un mood che vi farà sentire totalmente liberi di esprimervi in compagnia del duo “Manatì” e con “FN KEY?l” con una stupenda performance di action painting 😎💥

🎧 🎸 “Manatì” è un progetto live dance nato nel 2023 dalla fusione tra le influenze di Cristina Della Vecchia (tastierista, producer, composer che da anni collabora con tantissimi artisti tra cui Margherita Vicario e Martina Bertini (bassista, producer, arrangiatrice finalista di X Factor con tantissime collaborazioni alle spalle.
Il basso, piano, synth e percussioni si intrecciano su basi originali che spaziano dalla dance/house all’afrobeat, dall’EDM all’elettronica alla global Music creando un set tutto da ballare, coinvolgente e unico.

Vi aspettiamo #IndaRanch ❤️‍🔥

C.da Madonna Dattoli - Ginosa (Ta

⚠️ INGRESSO LIBERO CON TESSERA INDAHOUSE ⚠️

⚪️ Costo tessera 10€ (Validità 365 giorni ⚪️"
